#OTU ID	Fox-CI01-L-rep1	Fox-CI01-L-rep2	Fox-CI01-L-rep3	Fox-CI02-M-rep1	Fox-CI02-M-rep2	Fox-CI02-M-rep3	Fox-CI03-R-rep1	Fox-CI03-R-rep2	Fox-CI03-R-rep3	Fox-RO01-X-rep1	Fox-RO01-X-rep2	Fox-RO01-X-rep3	Fox-RO02-X-rep1	Fox-RO02-X-rep2	Fox-RO02-X-rep3	Fox-RO03-X-rep1	Fox-RO03-X-rep2	Fox-RO03-X-rep3	Fox-AD01-R-rep1	Fox-AD01-R-rep2	Fox-AD01-R-rep3	Fox-AD02-M-rep1	Fox-AD02-M-rep2	Fox-AD02-M-rep3	Fox-AD03-L-rep1	Fox-AD03-L-rep2	Fox-AD03-L-rep3	Fox-IA01-L-rep1	Fox-IA01-L-rep2	Fox-IA01-L-rep3	Fox-IA02-M-rep1	Fox-IA02-M-rep2	Fox-IA02-M-rep3	Fox-IA03-R-rep1	Fox-IA03-R-rep2	Fox-IA03-R-rep3	Fox-SB01-L-rep1	Fox-SB01-L-rep2	Fox-SB01-L-rep3	Fox-SB02-M-rep1	Fox-SB02-M-rep2	Fox-SB02-M-rep3	Fox-SB03-R-rep1	Fox-SB03-R-rep2	Fox-SB03-R-rep3	Fox-VP01-L-rep1	Fox-VP01-L-rep2	Fox-VP01-L-rep3	Fox-VP02-M-rep1	Fox-VP02-M-rep2	Fox-VP02-M-rep3	Fox-VP03-R-rep1	Fox-VP03-R-rep2	Fox-VP03-R-rep3
Micropterus dolomieu	0.0	958.0	0.0	9836.0	23497.0	4204.0	3510.0	1770.0	2936.0	5568.0	1785.0	7688.0	7003.0	559.0	3785.0	1515.0	6986.0	0.0	11640.0	4238.0	7638.0	941.0	0.0	0.0	1831.0	1935.0	2481.0	2532.0	2514.0	0.0	0.0	0.0	0.0	2219.0	1446.0	1417.0	403.0	881.0	1156.0	5677.0	1209.0	377.0	0.0	2930.0	444.0	0.0	934.0	2159.0	0.0	0.0	0.0	555.0	363.0	831.0
Micropterus salmoides	273.0	456.0	1712.0	0.0	0.0	0.0	0.0	0.0	0.0	443.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1230.0	0.0	86.0	653.0	0.0	0.0	1688.0	0.0	1935.0	3156.0	0.0	0.0	0.0	1909.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2971.0	1531.0	0.0	1719.0	2576.0	0.0	0.0	0.0	0.0	332.0	0.0
Moxostoma anisurum	0.0	0.0	7281.0	8882.0	9339.0	4202.0	7990.0	2429.0	3235.0	2956.0	1480.0	6302.0	1279.0	396.0	1762.0	456.0	6154.0	6873.0	5435.0	1188.0	5233.0	2923.0	421.0	3563.0	9684.0	20.0	4117.0	8642.0	3337.0	2884.0	31.0	1861.0	45145.0	0.0	440.0	677.0	7987.0	4874.0	1739.0	13496.0	4360.0	5803.0	2045.0	6399.0	1187.0	6864.0	5824.0	1960.0	12753.0	6625.0	2857.0	8604.0	7157.0	11015.0
Moxostoma macrolepidotum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2492.0	0.0	2240.0	0.0	0.0	0.0	0.0	1859.0	2947.0	797.0	703.0	1976.0	0.0	6157.0	22102.0	918.0	1108.0	5263.0	15050.0	4541.0	7211.0	55499.0	8567.0	6796.0	1500.0	4145.0	4196.0	21677.0	5246.0	13502.0	17361.0	6921.0	6453.0	5833.0	1956.0	2891.0
Nocomis biguttatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3953.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	266.0	2015.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Notemigonus crysoleucas	0.0	0.0	0.0	0.0	0.0	0.0	6797.0	0.0	518.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	878.0	0.0	0.0	0.0	808.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	299.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Notropis atherinoides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	941.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	20.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Notropis hudsonius	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1679.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Notropis stramineus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	205.0	0.0	0.0	0.0	788.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	299.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	331.0	0.0	0.0	0.0	0.0	1311.0	1683.0	884.0	0.0	741.0	0.0	0.0	0.0	0.0
Ondatra zibethicus	0.0	0.0	0.0	145.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	1037.0	0.0	0.0	357.0	0.0	0.0	0.0	0.0	0.0	0.0	1377.0	194.0	0.0	0.0	0.0	0.0	0.0	1038.0	330.0	57.0	0.0	0.0	493.0	0.0	3.0	0.0	0.0	0.0	2026.0	635.0	0.0	0.0	0.0	0.0	5.0	6.0	0.0
Percina caprodes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1475.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Peromyscus leucopus	0.0	0.0	0.0	0.0	0.0	0.0	931.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Phalacrocorax auritus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	906.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151.0	80.0
Pimephales vigilax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	324.0	0.0	0.0	0.0	0.0	1298.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Procyon lotor	0.0	347.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	571.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pylodictis olivaris	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sander vitreus	0.0	0.0	0.0	0.0	0.0	0.0	2797.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2184.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	448.0	0.0	0.0	0.0	0.0
Sciaenops ocellatus	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sciurus niger	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	15.0	162.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Turdus migratorius	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	739.0	0.0	0.0	0.0	0.0	181.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
